SMILES;FSP3;LogP;Molecular Weight;Number of Rotatable Bonds;Polar Surface Area;Solubility in Water (mg/L);AmpC β-lactamase aggregation;Cysteine protease cruzain aggregation;Firefly Luciferase interference;Nano Luciferase interference;Redox interference;Thiol interference;AmpC β-lactamase aggregation_prob;Cysteine protease cruzain aggregation_prob;Firefly Luciferase interference_prob;Nano Luciferase interference_prob;Redox interference_prob;Thiol interference_prob;AmpC β-lactamase aggregation_AD;Cysteine protease cruzain aggregation_AD;Firefly Luciferase interference_AD;Nano Luciferase interference_AD;Redox interference_AD;Thiol interference_AD;OverallScore;StoplightColor;ConsensusAssayScore
Nc1nc(NCCc2ccc(O)cc2)nc2nc(-c3ccco3)nn12;0.12;1.72;337.34;5;127.39;3.87;0;0;0;0;0;1;0.9589;0.9301;0.8748;0.9998;0.9945;0.9077;NA;NA;NA;NA;NA;NA;0.5;yellow;0.1916
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H]([C@@H](C)O)[C@@H](O)[C@H](O)[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O;1;-5.61;496.56;6;248.39;641937.62;0;0;0;0;0;0;0.7241;0.8112;0.9998;0.9999;0.9989;0.9375;NA;NA;NA;NA;NA;NA;0.25;yellow;0.0881
C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1ccc2c(N)ncnc21;0.5;-0.98;280.28;2;126.65;5225.63;0;0;0;0;0;0;0.9574;0.9704;0.9999;0.9999;0.9888;0.8594;NA;NA;NA;NA;NA;NA;0.083333333;yellow;0.037366667
CC(C)(C)NCc1ccc(Nc2ccnc3cc(Cl)ccc23)cc1O;0.25;5.23;355.87;4;57.18;3.26;0;0;0;0;0;0;0.9725;0.8672;0.9997;0.9976;0.9747;0.8951;NA;NA;NA;NA;NA;NA;0.416666667;yellow;0.048866667
NCC(=O)Nc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc3c(ccc4ccccc43)c2)cc1;0.08;5.76;460.46;4;72.94;0.01;0;0;0;0;0;0;0.9196;0.6999;0.9932;0.9995;0.9954;0.9991;NA;NA;NA;NA;NA;NA;0.583333333;yellow;0.06555
COc1ccc([C@H]2CNC(=O)C2)cc1OC1CCCC1;0.56;2.62;275.35;4;47.56;68.28;0;0;0;0;0;0;0.8567;0.9651;0.9821;0.9942;0.9924;0.9639;NA;NA;NA;NA;NA;NA;0.083333333;yellow;0.040933333
CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O;0.92;0.61;985.13;11;288.28;4403.11;1;1;0;0;0;0;0.9005;0.848;0.9999;0.9999;0.9916;0.9822;NA;NA;NA;NA;NA;NA;0.666666667;yellow;0.295816667
CC(C)(C)Oc1cccc2nc(N)nc(N)c12;0.33;1.97;232.29;1;87.05;254.65;0;0;0;0;0;0;0.9567;0.9027;0.9877;0.9994;0.9928;0.9134;NA;NA;NA;NA;NA;NA;0;green;0.041216667
O=C(CSCC(=O)Nc1ccc(OC(F)(F)F)cc1)NNC(=S)Nc1ccccc1;0.17;3.27;458.49;7;91.49;6.87;0;0;0;0;0;0;0.9787;0.9206;0.9835;0.9958;0.9983;0.9721;NA;NA;NA;NA;NA;NA;0.666666667;yellow;0.025166667
O=C(Nc1ccc(Oc2ncnc3cc(Cl)ccc23)nc1)c1ccc(-c2ccccn2)s1;0;5.85;459.92;5;89.89;20.5;0;1;0;0;0;0;0.8835;0.617;0.7767;0.9831;0.9972;0.9936;NA;NA;NA;NA;NA;NA;0.583333333;yellow;0.163816667
